,title,category_id,rating_count,average_rating,id
0,Love ring,1,36,0.37358473012647103,a7baef4a-4ccf-cff1-2005-64b556863ec2
4,Love wedding band,1,93,3.8267932754848575,b4cd3d3f-df3f-15e1-f149-09320da83355
8,"Love ring, 3 diamonds",1,52,2.5806802829630064,75425632-6b71-aa87-9f44-e40d262a48cc
11,"Love wedding band, 1 diamond",1,41,4.701318197605966,671167be-bd55-1e51-bc26-939e046498c3
15,"Love wedding band, 8 diamonds",1,4,1.6305387672512919,6530b667-3f81-8b2b-db4c-81ec72d2992d
18,"Love ring, SM",1,38,0.7297236163413247,e6cad1fc-4939-7ffe-5920-20671cefc30c
21,"Love wedding band, diamond-paved",1,55,4.458090628163229,6e58fc6c-fb26-be5b-1f06-d4a4e595243b
24,"Love ring, diamond-paved",1,51,0.8150537640038633,a242ffe2-67d3-3fb4-dcaf-4b635e4e3b1f
25,"Love ring, diamond-paved, ceramic",1,12,0.8479867739265241,9fa2f41c-bf06-07ef-3758-ca8c169700bc
27,"Love ring, pink sapphires",1,21,0.09620797038127894,8968fda8-1003-17f4-0819-c68c3155ecb3
31,"Love ring, 6 diamonds",1,51,0.6679715889509319,cc21443e-8808-c302-02e1-3036a9123fad
33,Panthère de Cartier ring,1,70,4.114627076061961,6f39e2aa-a981-99c2-1ba8-12d14679465c
69,Caresse d’Orchidées par Cartier ring,1,17,3.795319098574377,e7db433a-43a4-ed3d-ac77-59ac72919e0c
70,Les Oiseaux Libérés ring,1,33,2.483632642855592,abb086dc-9032-1d14-63f2-efa15f56d1d0
75,Faune et Flore de Cartier ring,1,70,0.1849438172293518,48ad8a4c-e329-d741-2b92-728c2fd56578
76,Cactus de Cartier ring,1,5,1.3077536257340172,c9a0bb86-997b-b4ec-0234-89f075e09882
77,Cactus de Cartier wedding band,1,69,0.626789931452762,6c44196e-e563-9bef-cf7c-3ad6150d4bb1
89,"Trinity ring, classic",1,80,4.473559180508237,b84cebdd-22a3-36eb-128a-4fdf2d8f1071
92,Trinity wedding band,1,99,3.1814889433276017,65d5a9d6-19f7-9cd0-19d3-1527990c61f8
93,"Trinity ring, small model",1,90,4.716680182119174,ff3fd735-54be-4cc6-6e2f-b68accd54307
94,"Trinity ring, classic ceramic",1,52,0.2425725094931911,884d54af-ec66-3c58-4e2d-fb30d52bd0bd
98,Trinity ring,1,99,3.095010410467481,ddadf377-46bc-9e65-4d4a-bd3fd4325b46
99,"Trinity ring, LM",1,45,2.4639719236136934,a3eb1a32-2a77-795c-5738-9d9067f6af4a
102,Trinity Ruban wedding band,1,72,4.950291015213506,8165e61f-82bd-9649-a75f-206638e52f19
103,"Trinity ring, ceramic, SM",1,3,3.0934586405409776,1b6e5b84-0ff5-6ee2-1305-9264e77a5f79
108,"Trinity ring, ceramic, LM",1,68,0.6072895729543416,37b28d25-d120-f1d3-05cf-791b16023fe5
110,1895 wedding band,1,13,2.1703276181993285,237ba9f4-e62b-1f75-0113-a12110552460
127,Étincelle de Cartier wedding band,1,50,2.298698528941329,4aea4065-391e-25b2-c31e-d1d87c611209
128,Cartier d'Amour wedding band,1,68,0.1918177883997423,751024e3-fe39-2d78-ded5-e4cca998dc54
130,C de Cartier wedding band,1,24,0.30687388448735475,f6285d9d-10f8-bc4b-b52f-a8c395616db7
133,Ballerine wedding band,1,1,3.328428533746066,088c5399-3b9f-863d-7cd2-d8e8948ce15f
136,Logo de Cartier wedding band,1,4,4.216099198751583,ccfd0746-b096-d02d-403b-b13885dd6381
157,Etincelle de Cartier ring,1,27,3.68415970119382,456cd732-db6b-293a-be88-1ab617fe7609
177,"Étincelle de Cartier ring, small model",1,88,3.0188283676792587,209d07a2-5dc4-2196-cb3e-fe4e0be87019
187,Cartier Destinée wedding band,1,78,3.329380506816809,38b73d3a-8893-59f2-144e-aab6fb00f0ad
194,Reflection de Cartier ring,1,57,4.2003271969686535,a3ccce94-9e37-3c48-6a5e-1640ba92b020
196,Coup d'Éclat de Cartier ring,1,6,0.21471210962946516,7995e1f1-7c3d-c15b-cd4e-1384b7646cb0
204,Reflection de Cartier wedding band,1,35,3.999126350966367,888f0a46-abdb-64a7-146c-2e39ba3f010c
206,Essential Lines ring,1,29,1.327850751612015,2a0af1b0-2244-8cfa-ab00-ac45f97f0ac1
208,Juste un Clou ring,1,29,0.08320916861053938,705a64b5-3726-12b9-caf1-1072a2987dc7
